Timestamp,Net_liquidation,Market_price,volume,YTD,one_year,five_year
1642412334,1736223.54,390.1242032,1533159.767,0.488172446,18.87344202,58.08471127
1642412366,1439347.995,376.5485587,1393706.554,0.429078849,26.21771231,48.60102803
1642412512,1873026.787,344.3427883,1331704.607,0.034194103,6.367927318,44.48216907
1642412532,1873121.29,360.8589345,1885336.56,0.024981577,66.64900959,16.09980629
1642412552,1750029.569,356.2297763,1732689.894,0.409758527,14.61129828,48.23657543
1642412572,1830418.328,331.2576124,1453891.126,0.134222466,27.50527226,51.75066358
1642412592,1134328.21,319.9544118,1481002.293,0.812243096,20.42477244,35.77715252
1642412612,1287670.024,314.6528481,1993428.974,0.777520137,48.34527801,23.68159226
1642412632,1716162.007,364.9064469,1034172.748,0.207359484,21.10322795,85.20325334
1642412652,1927896.71,304.9437025,1202009.743,0.747246928,63.46827859,43.90177744
1642412673,1223320.292,331.3150055,1374831.972,0.217956237,71.16972781,55.74259697
1642412693,1503382.683,378.474465,1267113.163,0.348018089,17.8774112,25.58618438
1642412713,1007722.648,359.172297,1928616.449,0.532522056,3.719031685,8.294386944
1642412733,1605286.465,311.2389965,1830345.038,0.940187955,93.19981559,2.347211029
1642412753,1429412.698,310.5249717,1430764.612,0.966054705,19.13922105,8.142642474
1642412773,1765160.497,320.8231437,1180734.927,0.424126257,0.013220639,82.03532927
1642412793,1279196.43,375.9305137,1818812.276,0.011678508,0.836972126,56.42096181
1642412813,1888518.813,353.6347652,1089728.522,0.870448985,19.13415287,44.56384725
1642412833,1601015.636,309.7392339,1349673.957,0.497802367,27.97783218,61.57791248
1642412853,1768449.015,345.4103862,1012777.308,0.081778781,13.44839858,3.117149291
1642412873,1335125.178,375.8773383,1674860.341,0.805771429,64.13775782,4.235501476
1642412893,1871992.23,320.3927309,1825317.514,0.92023484,49.12395171,33.41121701
1642412913,1445052.32,308.3090095,1177273.016,0.26493017,79.07231764,57.07451955
1642412933,1766592.046,350.6424777,1848344.277,0.248207259,61.63633886,62.71433594
1642412953,1725055.723,346.1007178,1078255.665,0.442493871,71.16926702,28.44799206
1642412973,1258033.391,383.2343419,1675880.037,0.741021055,39.29570296,55.18709229
1642412993,1288207.857,308.8237936,1250778.318,0.473167477,86.71598284,42.34861116
1642413013,1226628.467,377.9607073,1075846.155,0.107665192,12.67995587,15.40821744
1642413033,1659525.806,325.2880774,1075113.389,0.842468473,35.09676297,49.56559997
1642413053,1416073.266,397.0847943,1282781.31,0.626806252,16.06464815,10.03569603
1642413073,1174635.76,372.065554,1050242.711,0.732170765,42.11832666,62.32196669
1642413093,1195808.037,309.0321607,1407042.326,0.897337422,11.05672273,11.29505618
1642413113,1826388.62,375.8463968,1195528.599,0.367037247,55.73437,42.79472142
1642413133,1076518.246,387.675213,1227561.897,0.588349818,31.3032551,61.33545959
1642413153,1960777.263,375.3684929,1903160.317,0.241435566,31.00336679,69.33484635
1642413173,1529461.518,350.7654858,1175935.134,0.882998234,53.35852319,98.06958776
1642413193,1777276.161,387.7334502,1709924.938,0.303107509,63.52656987,35.45496102
1642413213,1421501.794,375.3307552,1008070.336,0.315431402,13.83933903,30.13982463
1642413233,1989788.073,304.4306493,1359907.572,0.360091373,48.94212388,21.18393415
1642413253,1305342.672,380.3060318,1087701.715,0.122848908,9.110811726,32.61565743
1642413273,1338701.041,357.0182132,1782166.558,0.769410037,41.2883432,59.97235298
1642413293,1595135.094,398.2659938,1130001.537,0.182562617,49.21367053,24.08478757
1642413313,1930602.393,379.6695749,1416503.797,0.707352997,71.64936154,36.64096371
1642413333,1971537.519,399.4531342,1992397.673,0.650845315,18.65214413,29.20711277
1642413353,1053486.448,352.9203815,1916680.393,0.42981811,53.91857612,13.2602762
1642413373,1905830.487,368.7959672,1296196.799,0.542649465,29.00940483,79.39140539
1642413393,1263845.698,328.3768389,1090580.41,0.337535308,59.13344571,48.45144122
1642413413,1506769.698,327.9306415,1359983.992,0.628744944,48.61850652,11.97796465
1642413433,1299801.676,327.3685366,1632115.889,0.513273847,26.12398758,28.44950057
